"","X","Journal","IF_2017","Total_Number_Articles"
"1","1 ","ISME Journal","9.664",2130
"2","2 ","Ecology Letters","9.449",3175
"3","3 ","Ecological Monographs","8.758",273
"4","4 ","Global Change Biology","8.502",3237
"5","5 ","Molecular Ecology","6.086",4094
"6","6 ","Globe Ecology and Biogeography","6.048",959
"7","7 ","Journal of Ecology ","5.813",1529
"8","8 ","Methods in Ecology and Evolution ","5.708",948
"9","9 ","Functional Ecology","0.252083333",1630
"10","10 ","Journal of Applied Ecology","5.301",1788
"11","11 ","P ROY SOC B-BIOL SCI","0.231944444",5550
"12","12 ","Ecography ","4.902",1194
"13","13 ","Conservation Biology","4.842",1816
"14","14 ","Ecology","4.809",1529
"15","15 ","Journal of Animal Ecology","4.474",1458
"16","16 ","Diversity and Distributions","4.391",1114
"17","17 ","Ecological Application","4.321",1817
"18","18 ","Journal of Biogeography","4.248",2027
"19","19 ","Evolution","4.201",2760
"20","20 ","Ecosystems","4.198",998
"21","21 ","American Naturalist","4.167",1408
"22","22 ","Agriculture, Ecosystems & Environment","4.099",2842
"23","23 ","Oikos","04.03",1921
"24","24 ","Biological Conservation","4.022",3515
"25","25 ","Microbial Ecology","0.16875",1849
"26","26 ","Landscape Ecology","3.615",1283
"27","27 ","Behavior Ecology","3.311",1892
"28","28 ","Fungal Ecology","3.219",648
"29","29 ","Oecologia","03.13",3108
"30","30 ","BiologyLetters","3.089",2410
